Incident Date,Complaint ID,Date Received,District,Classification,Summary
,17-0127,2017-03-22 04:00:00+00,1,LACK OF SERVICE,"According to the complainant, in February 2016, an officer provided false information and was not a neutral party during the investigation of two domestic incidents at their residence. The incident occurred in the confines of the 1st District."
3/19/17,17-0131,2017-03-28 04:00:00+00,1,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 3-19-17 at 2:31am, they were treated unprofessionally and did not receive proper service from officers assigned to the 1st District."
3/22/17,17-0142,2017-04-03 04:00:00+00,1,DEPARTMENTAL VIOLATIONS,"According to the complaint, on 3-22-17 at 5:00pm, they were improperly stopped by officers assigned to the 1st District."
4/23/17,17-0204,2017-05-01 04:00:00+00,1,PHYSICAL ABUSE,"According to the complainant, on 4-23-17 at 7:30pm, they were physically abused by a sergeant assigned to the 1st District."
4/17/17,17-0214,2017-05-04 04:00:00+00,1,DEPARTMENTAL VIOLATIONS,"According to the complaint, on 4-17-17 at 11:30am, they were harassed and physically abused by officers assigned to the 1st District."
6/5/15,17-0235,2017-06-01 04:00:00+00,1,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 6-5-15 at 10:00pm, they were falsely arrested by an officer assigned to the DVIC."
3/8/17,17-0508,2017-10-06 04:00:00+00,1,LACK OF SERVICE,"According to the complainant, on 3-8-17, departmental policies were violated by officers assigned to the 1st District and a detective assigned to South Detective Division."
10/12/17,17-0539,2017-10-25 04:00:00+00,1,PHYSICAL ABUSE,"According to the complainants, on 10-12-17 at 9:30am, their property was damaged and they were physically abused by detectives assigned to South Detective Division."
1/3/18,18-0008,2018-01-11 05:00:00+00,1,PHYSICAL ABUSE,"According to the complainant, on 1-3-18 at 9:10pm, they were physically abused by an officer assigned to the 1st District."
1/3/18,18-0024,2018-01-19 05:00:00+00,1,PHYSICAL ABUSE,"According to the complainant, on 1-3-18, they were physically abused by an officer assigned to the 1st District."
1/6/17,18-0028,2018-01-24 05:00:00+00,1,PHYSICAL ABUSE,"According to the complainant, on 1-6-17, they were physically abused by a detective assigned to South Detective Division."
12/18/17,18-0076,2018-02-22 05:00:00+00,1,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 12-18-17, their First amendment rights were violated by a detective assigned to the Counter Terrorism Unit."
,18-0084,2018-03-05 05:00:00+00,1,LACK OF SERVICE,"According to the complainant, in November 2017, they did not receive proper service from officers assigned to the 1st District."
3/1/18,18-0098,2018-03-08 05:00:00+00,1,SEXUAL CRIME/MISCONDUCT,"According to the complainant, on 3-1-18 at 8:00pm, they were verbally abused, treated unprofessionally and improperly searched by officers assigned to Highway Patrol."
3/27/18,18-0145,2018-03-29 04:00:00+00,1,PHYSICAL ABUSE,"According to the complainant, on 3-27-18, they were physically abused by an officer assigned to the 1st District."
1/7/18,18-0169,2018-04-20 04:00:00+00,1,LACK OF SERVICE,"According to the complainant, on 1-7-18, they did not receive proper service from officers assigned to the 1st District."
1/8/18,18-0275,2018-06-15 04:00:00+00,1,LACK OF SERVICE,"According to the complainant, on 1-8-18 at 12:00pm, they did not receive proper service from an officer assigned to the 1st District."
6/16/16,18-0281,2018-06-18 04:00:00+00,1,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 6-16-16 at 5:00pm, they did not receive proper service from an officer assigned to the 1st District."
2/4/19,19-0062,2019-02-18 05:00:00+00,1,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 2-4-19 at 12:35am, their vehicle was improperly searched by officers assigned to the 22nd District."
6/26/20,20-0382,2020-07-20 04:00:00+00,1,LACK OF SERVICE,"According to the complainant, on 6-26-20, they did not receive proper service from a 2nd District supervisor while in the confines of the 1st District."
1/31/19,19-0108,2019-03-18 04:00:00+00,1,LACK OF SERVICE,"According to the complainant, on 1-31-19 at 12:30am, they did not receive proper service and treated unprofessionally by officers assigned to the 1st District and an unknown detective."
5/31/20,20-0277,2020-06-16 04:00:00+00,1,PHYSICAL ABUSE,"According to the complainant, on 5-31-20 at 1:00 AM, departmental policies were violated and they were physically and verbally abused by officers while in the confines of the 1st District."
3/21/19,19-0122,2019-03-25 04:00:00+00,1,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 3-21-19, he was treated unprofessionally by an officer assigned to the Traffic District."
8/29/19,20-0307,2020-06-19 04:00:00+00,1,VERBAL ABUSE,"According to the complainant, 8-29-19, they were verbally abused and did not receive proper service from an officer assigned to the 1st District."
6/13/20,20-0288,2020-06-15 04:00:00+00,1,LACK OF SERVICE,"According to the complainant, on 6-13-20 at 8:48 PM, they did not receive proper service from officers while in the confines of the 1st District."
6/14/20,20-0290,2020-06-16 04:00:00+00,1,LACK OF SERVICE,"According to the complainant, on 6-14-20, they did not receive proper service from a supervisor assigned to the Narcotics Field Unit while in the confines of the 1st District."
,20-0310,2020-06-22 04:00:00+00,1,LACK OF SERVICE,"According to the complainant, on an unspecified date and time, they did not receive proper service from officers while in the confines of the 1st District."
1/14/20,20-0488,2020-09-22 04:00:00+00,1,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-14-20, they were falsely arrested by detectives assigned to Northwest Detective Division and South Detective Division while in the confines of the 1st District."
9/25/20,20-0508,2020-10-02 04:00:00+00,1,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 9-25-20 at 9:19 AM, an unknown officer misused city equipment while in the confines of the 1st District."
1/29/21,21-0101,2021-03-04 05:00:00+00,1,LACK OF SERVICE,"The complainants state they did not receive proper service from a sergeant and an officer assigned to the 1st District, while in the confines of the 1st District. On 1-29-21, they went to a police facility to report a fraud. They supplied all the paperwork connected to the fraud and notified the sergeant and the officer that the perpetrator knows a detective who works there. The complainants told the sergeant and the officer that they needed the paperwork personally hand delivered to the detective assigned. On 2-11-21, the complainants met with a detective and was then notified that the paperwork submitted is now missing."
