Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,PCT_SE_A03001_002,PCT_SE_A03001_003,PCT_SE_A03001_004,PCT_SE_A03001_005,PCT_SE_A03001_006,PCT_SE_A03001_007,PCT_SE_A03001_008
"42101000101","Census Tract 1.01, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008807",,,,,"42","101",,,"000101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101000101","Census Tract 1.01",,,,2004,1683,28,0,157,0,99,37,83.98,1.4,0,7.83,0,4.94,1.85
"42101000102","Census Tract 1.02, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008808",,,,,"42","101",,,"000102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101000102","Census Tract 1.02",,,,2752,2511,82,0,76,0,48,35,91.24,2.98,0,2.76,0,1.74,1.27
"42101000200","Census Tract 2, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008809",,,,,"42","101",,,"000200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101000200","Census Tract 2",,,,3414,1063,225,0,1888,0,3,235,31.14,6.59,0,55.3,0,0.09,6.88
"42101000300","Census Tract 3, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008810",,,,,"42","101",,,"000300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101000300","Census Tract 3",,,,3566,2269,218,3,615,0,56,405,63.63,6.11,0.08,17.25,0,1.57,11.36
"42101000401","Census Tract 4.01, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008811",,,,,"42","101",,,"000401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101000401","Census Tract 4.01",,,,2573,1595,375,0,475,0,0,128,61.99,14.57,0,18.46,0,0,4.97
"42101000403","Census Tract 4.03, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008812",,,,,"42","101",,,"000403",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101000403","Census Tract 4.03",,,,965,836,27,4,63,0,0,35,86.63,2.8,0.41,6.53,0,0,3.63
"42101000404","Census Tract 4.04, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008813",,,,,"42","101",,,"000404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101000404","Census Tract 4.04",,,,3260,2656,113,0,426,0,0,65,81.47,3.47,0,13.07,0,0,1.99
"42101000500","Census Tract 5, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008814",,,,,"42","101",,,"000500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101000500","Census Tract 5",,,,2977,1285,964,37,425,0,40,226,43.16,32.38,1.24,14.28,0,1.34,7.59
"42101000600","Census Tract 6, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008815",,,,,"42","101",,,"000600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101000600","Census Tract 6",,,,1465,1048,153,0,240,0,0,24,71.54,10.44,0,16.38,0,0,1.64
"42101000701","Census Tract 7.01, Philadelphia County, Pennsylvania","ACSSF","pa","140","00","0008816",,,,,"42","101",,,"000701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101000701","Census Tract 7.01",,,,1682,1343,21,0,291,0,27,0,79.85,1.25,0,17.3,0,1.61,0
