OBJECTID,AREA,PERIMETER,NAME,YEAR,CORRESPREDEVPLAN,PLANNINGDISTRICT,STATUS,TYPE,EXPIREYEAR,MOSTRECENTRECERT,Shape__Area,Shape__Length
1,,32911.15468861,SOUTH CENTRAL,1948,South Central (1968),Central/South,,Redevelopment Area Plan,,,5118444.97265625,13073.8248442618
2,,2990.74126689,57TH & BALTIMORE,1963,Angora (2005),University Southwest/West,,Redevelopment Area Plan,,2005,83759.171875,1198.75764953817
3,,20044.87937278,GRAYS FERRY,1968,Gray's Ferry (1968)/Point Breeze (2001),South,Active,Redevelopment Area Plan and Blight Certification,2029,2009,2461035.9140625,7264.6733976088
4,,11669.99004346,POINT BREEZE AND GRAYS FERRY,1968,Gray's Ferry (1968)/Point Breeze (2001),South,Active,Redevelopment Area Plan and Blight Certification,2029,2009,2910583.87109375,7135.39771720479
5,,3304.4434323,9TH & ELLSWORTH,2000,9th and Ellsworth (2006),South,,Redevelopment Area Plan,,,112704.62109375,1350.77099659819
6,,4565.17926785,JEFFERSON SQ.,1999,Jefferson Square (1999),South,,Redevelopment Area Plan,,,126780.65234375,1817.87544892414
7,,12981.44118935,PENNSPORT,1968,Pennsport (1968),South,,Redevelopment Area Plan,,,1176810.72265625,5166.51023302388
8,,1795.4950864,EINSTEIN SOUTHERN,1966,Einstein Southern (1966),South,,Redevelopment Area Plan,,,31845.21875,714.061423616425
9,,1817.07206855,16TH & MOORE,1970,16th and Moore (2004),South,,Redevelopment Area Plan and Blight Certification,,2004,33092.16796875,727.511861421111
10,,69745.1703948,EASTWICK,1950,Eastwick (1954/amended 2006),Lower Southwest,Active,Redevelopment Area Plan and Blight Certification,2026,2006,23763671.3242188,27725.0709678194
11,,8076.451789,GREENWICH,1970,Greenwich (1970),South,,Redevelopment Area Plan,,,496726.734375,3191.22409757922
12,,12926.07218593,SOUTH DELAWARE,2003,South Delaware (2003),South,Active,Redevelopment Area Plan and Blight Certification,2023,2003,1439858.4375,5142.90897053688
13,,13019.63725832,WHITMAN,1957,Whitman (1964),South,,Redevelopment Area Plan,,,1558825.21484375,5179.0967808987
14,,29095.04249279,PATTISON AVE EAST,1954,Pattison Avenue East (1955),Lower South/South,,Redevelopment Area Plan,,,4639445.09765625,11560.9804409942
15,,8330.04737544,HARTRANFT,1961,Hartranft (1961),Lower South,,Redevelopment Area Plan,,,523264.88671875,3312.28925883307
16,,30676.39096346,ARAMINGO AND EAST VENANGO,1948,"Aramingo ('48/amended '66), E. Venango Indus ('76)",River Wards,,Redevelopment Area Plan,,,116007.37109375,1375.87844539574
17,,22282.65569986,ALLEGHENY WEST - TIOGA,1970,Allegheny West (2003)/Tioga (1971),North,Active,Redevelopment Area Plan and Blight Certification,2023,2003,8193184.03515625,15398.1784494924
18,,8496.3342808,ONTARIO,1967,Ontario (2002),North,Active,Redevelopment Area Plan and Blight Certification,2022,2002,507594.0234375,3385.06918033627
19,,17524.82799054,FAIRHILL / ST. HUGH,2003,Fairhill and St. Hugh (2003),North,Active,Redevelopment Area Plan and Blight Certification,2023,2003,3150093.48046875,6977.04822793555
20,,15835.60123486,KENSINGTON NORTH OF LEHIGH,1969,East Kensington (1969),River Wards,,Redevelopment Area Plan,,,1907001.265625,5791.43827021439
21,,61660.8599229,NORTH PHILADELPHIA,1968,North Philadelphia (1968/amended 2014),Central/Lower North,,Redevelopment Area Plan,,,26091163.875,24156.0214752947
22,,10159.86907715,UPPER NICETOWN,2003,Upper Nicetown (2003),Upper North,Active,Redevelopment Area Plan and Blight Certification,2023,2003,729558.85546875,4045.27828217505
23,,11941.13198671,LOGAN,2002,Logan (2003),North/Upper North,Active,Redevelopment Area Plan and Blight Certification,2022,2002,1428562.03515625,4755.03118300343
24,,11141.20614848,HANSBERRY AND GREENE,1998,Southwest Germantown (1998),North/Upper Northwest,,Redevelopment Area Plan,,,947539.29296875,4537.11585245047
25,,18831.52112947,EAST FRANKFORD,1969,East Frankford and Meadow (1969),Lower Northeast,,Redevelopment Area Plan,,,2515771.890625,7341.46359512549
26,,31923.75273502,WEST FAIRHILL / EAST TIOGA / HUNTING PK,2004,"W. Fairhill, E. Tioga, and Hunting Park (2004)",North/Upper North,Active,Redevelopment Area Plan and Blight Certification,2024,2004,5869208.03125,12720.2268108798
