OBJECTID,FISCAL_YEAR_COMPLETE,PROJECT_NAME,DEVELOPER_NAME,ADDRESS,PROJECT_TYPE,TOTAL_UNITS,ACCESSIBLE_UNITS,SENSORY_UNITS,VISITABLE_UNITS
1,2019,Gloria Casarez Residence (1315 N 8th),Project HOME,1315 N 8TH ST,Special Needs,30,4,2,30
2,2019,Roberto Clemente Homes,Nueva Esperanza,3921-61 N 5TH ST,Rental,38,6,2,38
3,2019,Henry Avenue Senior Campus I,NewCourtland Elder Services,3232 HENRY AVE,Rental,49,6,2,49
4,2019,Villas Del Caribe,HACE,161-71 W ALLEGHENY AVE,Rental,81,10,2,60
5,2019,Cantrell Place,Presby's Inspired Life,447 CANTRELL ST,Rental,61,8,4,61
6,2019,Ann Thomas Presbyterian,Presby's Inspired Life,2000 S 58TH ST,Rental,75,75,3,75
7,2018,APM Preservation,APM,2011-25 N MARSHALL ST,Rental,80,8,4,13
8,2018,The Lofts at 2601,Volunteers of America,2601 N BROAD ST,Special Needs,56,6,2,14
9,2018,Anthony Wayne III,Elon Group,1701 S 28TH ST,Rental,45,6,2,45
10,2018,Centennial Village,Community Ventures,1702 N 52nd St,Rental,52,9,3,52
11,2018,Ruth Williams House,Project HOME,2413-29 N BROAD ST,Special Needs,88,10,4,88
12,2018,Tioga Family,Gaudenzia Foundation,1822-26 W TIOGA ST,Special Needs,24,,,
13,2017,Mt. Vernon Manor II,Mt. Vernon Manor CDC,3202 MANTUA AVE,Rental,46,6,2,4
14,2017,NewCourtland at Allegheny II,NewCourtland Elder Services,1900 W ALLEGHENY AVE,Rental,45,7,2,45
15,2017,Wynn Senior Residences,Pennrose,2001-11 N 54TH ST,Rental,50,6,2,50
16,2017,Orinoka Mills,New Kensington CDC,2721-69 RUTH ST,Rental,51,,,
17,2017,Lindley Court,WES Corp,1300 W LINDLEY AVE,Rental,48,5,,
18,2017,Blumberg Apartments I,Phila Housing Authority,1500-02 N 24TH ST,Rental,57,6,0,
19,2016,St. Raymond's House,Depaul USA,1330 VERNON RD,Special Needs,28,2,2,28
20,2016,Tajdeed,Arab American Dev Corp,246-66 W OXFORD ST,Rental,45,5,2,35
21,2016,NewCourtland at Allegheny,NewCourtland Elder Services,1900 W ALLEGHENY AVE,Rental,60,6,2,60
22,2016,Nativity BVM Senior,Catholic Health Care Services,3255 BELGRADE ST,Rental,63,6,3,63
23,2016,Ingersoll Commons Homeownership,Community Ventures,1301 N SMEDLEY ST,Homeownership,10,,,
24,2016,Tasker Village Energy,Diversified Community Services,1508 S 16TH ST,Rental,28,,,
25,2016,Mt. Airy Corridor Mixed Use,Mt. Airy CDC,6513 GERMANTOWN AVE,Rental,3,,,
26,2016,Winghocking Street,Nicetown CDC,2006 W WINGOHOCKING ST,Homeownership,2,,,
27,2015,Anthony Wayne Senior II,Elon Group,1701 S 28TH ST,Rental,46,6,3,
