File identification,State Postal Abbreviation,Summary Level,Geographic Component,Logical Record Number,US,Census Region,Census Division,State (Census Code),State (FIPS Code),County of current residence,County Subdivision (FIPS),Place (FIPS Code),Census Tract,Block Group,Consolidated City,American Indian Area/AlaskaNative Area/ Hawaiian Home Land(Census),American Indian Area/AlaskaNative Area/ Hawaiian Home Land(FIPS),American Indian Trust Land/Hawaiian Home Land Indicator,American Indian TribalSubdivision (Census),American Indian TribalSubdivision (FIPS),Alaska Native RegionalCorporation (FIPS),Metropolitan and MicropolitanStatistical Area,Combined Statistical Area,Metropolitan Statistical Area-Metropolitan Division,Metropolitan Area Central City,Metropolitan/MicropolitanIndicator Flag,New England City and Town Area,New England City and TownCombined Statistical Area,New England City and Town AreaDivision,Urban Area,Current Congressional District ***,State Legislative District Upper,State Legislative District Lower,5-digit ZIP Code Tabulation Area,Subminor Civil Division (FIPS),State-School District (Elementary),State-School District (Secondary),State-School District (Unified),Urban/Rural,Principal City Indicator,Public Use Microdata Area – 5%File,Geographic Identifier,Area Name,Tribal Tract,Tribal Block Group,Qualifying Name,FIPS,Area (Land),Area (Water),Place (State FIPS + Place FIPS),Urban Area Central Place,Voting District,ZIP Code Tabulation Area (3-digit),Traffic Analysis Zone,Urban Growth Area,Public Use Microdata Area - 1% File,Median Year Structure Built,Owner Occupied Housing Units,"Owner Occupied Housing Units: White Alone, Not Hispanic or Latino Homeowners ",Owner Occupied Housing Units: Non-White Homeowners,"% Owner Occupied Housing Units: White Alone, Not Hispanic or Latino Homeowners ",% Owner Occupied Housing Units: Non-White Homeowners,Owner-Occupied Housing Units,Housing Units,Households:,Households: with a Householder Who Is White Alone,Households: with a Householder Who Is Black or African  American Alone,Households: with a Householder Who Is American Indian and  Alaska Native Alone,Households: with a Householder Who Is Asian Alone,Households: with a Householder Who Is Native Hawaiian and  Other Pacific Islander Alone,Households: with a Householder Who Is Some Other Race Alone,Households: with a Householder Who Is Two or More Races,Households: with a Householder Who Is Hispanic or Latino,"Households: with a Householder Who Is White Alone, Not  Hispanic or Latino",% Households: with a Householder Who Is White Alone,% Households: with a Householder Who Is Black or African  American Alone,% Households: with a Householder Who Is American Indian and  Alaska Native Alone,% Households: with a Householder Who Is Asian Alone,% Households: with a Householder Who Is Native Hawaiian and  Other Pacific Islander Alone,% Households: with a Householder Who Is Some Other Race Alone,% Households: with a Householder Who Is Two or More Races,% Households: with a Householder Who Is Hispanic or Latino,"% Households: with a Householder Who Is White Alone, Not  Hispanic or Latino",Renter-Occupied Housing Units,Renter-Occupied Housing Units: White Alone Householder,Renter-Occupied Housing Units: Black or African American Alone Householder,Renter-Occupied Housing Units: American Indian and Alaska Native Alone Householder,Renter-Occupied Housing Units: Asian Alone Householder,Renter-Occupied Housing Units: Native Hawaiian and Other Pacific Islander Alone Householder,Renter-Occupied Housing Units: Some Other Race Alone Householder,Renter-Occupied Housing Units: Two or More Races Householder,"Renter-Occupied Housing Units: White Alone, Not Hispanic or Latino Householder",Renter-Occupied Housing Units: Hispanic or Latino Householder,% Renter-Occupied Housing Units: White Alone Householder,% Renter-Occupied Housing Units: Black or African American Alone Householder,% Renter-Occupied Housing Units: American Indian and Alaska Native Alone Householder,% Renter-Occupied Housing Units: Asian Alone Householder,% Renter-Occupied Housing Units: Native Hawaiian and Other Pacific Islander Alone Householder,% Renter-Occupied Housing Units: Some Other Race Alone Householder,% Renter-Occupied Housing Units: Two or More Races Householder,"% Renter-Occupied Housing Units: White Alone, Not Hispanic or Latino Householder",% Renter-Occupied Housing Units: Hispanic or Latino Householder
ACSSF,pa,140,0,8807,,,,,42,101,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US42101000101,Census Tract 1.01,,,"Census Tract 1.01, Philadelphia County, Pennsylvania",42101000101,351883,0,,,,,,,,0,366,278,88,75.96,24.04,366,1450,1350,1102,11,0,101,0,99,37,217,984,81.63,0.81,0,7.48,0,7.33,2.74,16.07,72.89,984,747,11,0,90,0,99,37,706,140,75.91,1.12,0,9.15,0,10.06,3.76,71.75,14.23
ACSSF,pa,140,0,8808,,,,,42,101,,,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US42101000102,Census Tract 1.02,,,"Census Tract 1.02, Philadelphia County, Pennsylvania",42101000102,444406,0,,,,,,,,0,658,633,25,96.2,3.8,658,2057,1840,1621,60,0,76,0,48,35,96,1573,88.1,3.26,0,4.13,0,2.61,1.9,5.22,85.49,1182,988,48,0,63,0,48,35,940,96,83.59,4.06,0,5.33,0,4.06,2.96,79.53,8.12
ACSSF,pa,140,0,8809,,,,,42,101,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US42101000200,Census Tract 2,,,"Census Tract 2, Philadelphia County, Pennsylvania",42101000200,386232,0,,,,,,,,1976,875,394,481,45.03,54.97,875,1739,1628,757,11,0,779,0,0,81,129,693,46.5,0.68,0,47.85,0,0,4.98,7.92,42.57,753,363,11,0,298,0,0,81,299,129,48.21,1.46,0,39.58,0,0,10.76,39.71,17.13
ACSSF,pa,140,0,8810,,,,,42,101,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US42101000300,Census Tract 3,,,"Census Tract 3, Philadelphia County, Pennsylvania",42101000300,546267,22673,,,,,,,,1973,426,361,65,84.74,15.26,426,2336,2085,1315,114,0,295,0,30,331,164,1189,63.07,5.47,0,14.15,0,1.44,15.88,7.87,57.03,1659,954,105,0,276,0,21,303,828,164,57.5,6.33,0,16.64,0,1.27,18.26,49.91,9.89
ACSSF,pa,140,0,8811,,,,,42,101,,,401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US42101000401,Census Tract 4.01,,,"Census Tract 4.01, Philadelphia County, Pennsylvania",42101000401,216838,15884,,,,,,,,1959,628,487,141,77.55,22.45,628,2183,1849,1136,345,0,291,0,0,77,49,1087,61.44,18.66,0,15.74,0,0,4.16,2.65,58.79,1221,639,292,0,213,0,0,77,600,39,52.33,23.91,0,17.44,0,0,6.31,49.14,3.19
ACSSF,pa,140,0,8812,,,,,42,101,,,403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US42101000403,Census Tract 4.03,,,"Census Tract 4.03, Philadelphia County, Pennsylvania",42101000403,139616,0,,,,,,,,2001,402,325,77,80.85,19.15,402,809,694,630,0,4,44,0,0,16,55,575,90.78,0,0.58,6.34,0,0,2.31,7.93,82.85,292,250,0,0,26,0,0,16,250,0,85.62,0,0,8.9,0,0,5.48,85.62,0
ACSSF,pa,140,0,8813,,,,,42,101,,,404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US42101000404,Census Tract 4.04,,,"Census Tract 4.04, Philadelphia County, Pennsylvania",42101000404,164084,0,,,,,,,,1967,1017,930,87,91.45,8.55,1017,2749,2323,1796,113,0,361,0,0,53,23,1773,77.31,4.86,0,15.54,0,0,2.28,0.99,76.32,1306,866,52,0,335,0,0,53,843,23,66.31,3.98,0,25.65,0,0,4.06,64.55,1.76
ACSSF,pa,140,0,8814,,,,,42,101,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US42101000500,Census Tract 5,,,"Census Tract 5, Philadelphia County, Pennsylvania",42101000500,428760,0,,,,,,,,1951,61,10,51,16.39,83.61,61,1355,1144,551,167,6,301,0,4,115,53,519,48.16,14.6,0.52,26.31,0,0.35,10.05,4.63,45.37,1083,541,166,6,255,0,4,111,509,53,49.95,15.33,0.55,23.55,0,0.37,10.25,47,4.89
ACSSF,pa,140,0,8815,,,,,42,101,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US42101000600,Census Tract 6,,,"Census Tract 6, Philadelphia County, Pennsylvania",42101000600,172652,0,,,,,,,,0,18,9,9,50,50,18,1300,1008,717,82,0,209,0,0,0,67,650,71.13,8.13,0,20.73,0,0,0,6.65,64.48,990,705,82,0,203,0,0,0,641,64,71.21,8.28,0,20.51,0,0,0,64.75,6.46
ACSSF,pa,140,0,8816,,,,,42,101,,,701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US42101000701,Census Tract 7.01,,,"Census Tract 7.01, Philadelphia County, Pennsylvania",42101000701,140499,0,,,,,,,,0,302,237,65,78.48,21.52,302,1572,1279,1049,21,0,209,0,0,0,86,995,82.02,1.64,0,16.34,0,0,0,6.72,77.8,977,796,21,0,160,0,0,0,758,38,81.47,2.15,0,16.38,0,0,0,77.58,3.89
