Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_QName,Geo_FIPS,Geo_AREALAND,Geo_AREAWATR,Geo_PLACESE,Geo_UACP,Geo_VTD,Geo_ZCTA3,Geo_TAZ,Geo_UGA,Geo_PUMA1,SE_A10001_001,SE_A00001_001,SE_A10008_001,SE_A10008_002,SE_A10008_003,SE_A10008_004,SE_A10008_005,SE_A10008_006,SE_A10008_007,SE_A10008_008,SE_A10008_009,PCT_SE_A10008_002,PCT_SE_A10008_003,PCT_SE_A10008_004,PCT_SE_A10008_005,PCT_SE_A10008_006,PCT_SE_A10008_007,PCT_SE_A10008_008,PCT_SE_A10008_009,SE_A10024_001,SE_A10024_002,SE_A10024_003,SE_A10024_004,SE_A10024_005,SE_A10024_006,SE_A10024_007,SE_A10024_008,PCT_SE_A10024_002,PCT_SE_A10024_003,PCT_SE_A10024_004,PCT_SE_A10024_005,PCT_SE_A10024_006,PCT_SE_A10024_007,PCT_SE_A10024_008,SE_A10003_001,SE_A10060_001,SE_A10060_002,SE_A10060_003,PCT_SE_A10060_002,PCT_SE_A10060_003,SE_B10060_001,SE_B10060_002,SE_B10060_003,PCT_SE_B10060_002,PCT_SE_B10060_003,SE_A10044_001,SE_A10044_002,SE_A10044_003,PCT_SE_A10044_002,PCT_SE_A10044_003,SE_A10047_001,SE_A10047_002,SE_A10047_003,SE_A10047_004,PCT_SE_A10047_002,PCT_SE_A10047_003,PCT_SE_A10047_004,SE_A10032_001,SE_A10032_002,SE_A10032_003,SE_A10032_004,SE_A10032_005,SE_A10032_006,SE_A10032_007,SE_A10032_008,SE_A10032_009,SE_A10032_010,SE_A10032_011,SE_A10032_012,PCT_SE_A10032_002,PCT_SE_A10032_003,PCT_SE_A10032_004,PCT_SE_A10032_005,PCT_SE_A10032_006,PCT_SE_A10032_007,PCT_SE_A10032_008,PCT_SE_A10032_009,PCT_SE_A10032_010,PCT_SE_A10032_011,PCT_SE_A10032_012,SE_A10055_001,SE_A10055_002,SE_A10055_003,SE_A10055_004,SE_A10055_005,SE_A10055_006,SE_A10055_007,SE_A10055_008,SE_A10055_009,SE_A10055_010,SE_A10055_011,PCT_SE_A10055_002,PCT_SE_A10055_003,PCT_SE_A10055_004,PCT_SE_A10055_005,PCT_SE_A10055_006,PCT_SE_A10055_007,PCT_SE_A10055_008,PCT_SE_A10055_009,PCT_SE_A10055_010,PCT_SE_A10055_011,SE_A10036_001,SE_A18001_001,SE_A18001_002,SE_A18001_003,SE_A18001_004,SE_A18001_005,SE_A18001_006,SE_A18001_007,SE_A18001_008,SE_A18001_009,PCT_SE_A18001_002,PCT_SE_A18001_003,PCT_SE_A18001_004,PCT_SE_A18001_005,PCT_SE_A18001_006,PCT_SE_A18001_007,PCT_SE_A18001_008,PCT_SE_A18001_009,SE_A18009_001
"ACSSF","pa","140","00","0008807",,,,,"42","101",,,"000101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101000101","Census Tract 1.01",,,"Census Tract 1.01, Philadelphia County, Pennsylvania","42101000101","351883","0",,,,,,,,1450,2004,1350,361,260,101,15,86,989,304,685,26.74,19.26,7.48,1.11,6.37,73.26,22.52,50.74,1350,817,436,97,0,0,0,0,60.52,32.3,7.19,0,0,0,0,1.48,1350,366,984,27.11,72.89,366,278,88,75.96,24.04,1450,1350,100,93.1,6.9,100,51,0,49,51,0,49,1450,36,0,36,13,134,65,235,741,226,0,0,2.48,0,2.48,0.9,9.24,4.48,16.21,51.1,15.59,0,0,1350,2,54,223,0,195,57,23,29,68,699,0.15,4,16.52,0,14.44,4.22,1.7,2.15,5.04,51.78,412300,977,0,0,0,24,0,116,563,274,0,0,0,2.46,0,11.87,57.63,28.05,1810
"ACSSF","pa","140","00","0008808",,,,,"42","101",,,"000102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101000102","Census Tract 1.02",,,"Census Tract 1.02, Philadelphia County, Pennsylvania","42101000102","444406","0",,,,,,,,2057,2752,1840,452,424,28,0,28,1388,701,687,24.57,23.04,1.52,0,1.52,75.43,38.1,37.34,1840,1101,604,107,28,0,0,0,59.84,32.83,5.82,1.52,0,0,0,1.48,1840,658,1182,35.76,64.24,658,633,25,96.2,3.8,2057,1840,217,89.45,10.55,217,127,71,19,58.53,32.72,8.76,2057,168,12,156,64,165,102,182,344,1032,0,0,8.17,0.58,7.58,3.11,8.02,4.96,8.85,16.72,50.17,0,0,1840,0,197,156,27,73,74,22,0,114,1177,0,10.71,8.48,1.47,3.97,4.02,1.2,0,6.2,63.97,503300,1123,0,0,48,0,0,139,317,619,0,0,4.27,0,0,12.38,28.23,55.12,2059
"ACSSF","pa","140","00","0008809",,,,,"42","101",,,"000200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101000200","Census Tract 2",,,"Census Tract 2, Philadelphia County, Pennsylvania","42101000200","386232","0",,,,,,,,1739,3414,1628,567,438,129,49,80,1061,698,363,34.83,26.9,7.92,3.01,4.91,65.17,42.87,22.3,1628,867,435,139,108,31,0,48,53.26,26.72,8.54,6.63,1.9,0,2.95,1.98,1628,875,753,53.75,46.25,875,394,481,45.03,54.97,1739,1628,111,93.62,6.38,111,92,0,19,82.88,0,17.12,1739,197,64,133,68,82,119,17,168,1088,0,0,11.33,3.68,7.65,3.91,4.72,6.84,0.98,9.66,62.56,0,0,1628,0,123,129,160,182,490,36,33,14,461,0,7.56,7.92,9.83,11.18,30.1,2.21,2.03,0.86,28.32,458100,753,0,68,1,36,181,217,99,151,0,9.03,0.13,4.78,24.04,28.82,13.15,20.05,1354
"ACSSF","pa","140","00","0008810",,,,,"42","101",,,"000300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101000300","Census Tract 3",,,"Census Tract 3, Philadelphia County, Pennsylvania","42101000300","546267","22673",,,,,,,,2336,3566,2085,557,503,54,11,43,1528,694,834,26.71,24.12,2.59,0.53,2.06,73.29,33.29,40,2085,1275,566,167,62,11,4,0,61.15,27.15,8.01,2.97,0.53,0.19,0,1.56,2085,426,1659,20.43,79.57,426,361,65,84.74,15.26,2336,2085,251,89.26,10.74,251,147,0,104,58.57,0,41.43,2336,346,46,300,36,73,165,34,99,1583,0,0,14.81,1.97,12.84,1.54,3.12,7.06,1.46,4.24,67.77,0,0,2085,0,64,278,154,364,334,85,72,38,696,0,3.07,13.33,7.39,17.46,16.02,4.08,3.45,1.82,33.38,668000,1659,56,18,71,37,130,116,395,836,3.38,1.08,4.28,2.23,7.84,6.99,23.81,50.39,2008
"ACSSF","pa","140","00","0008811",,,,,"42","101",,,"000401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101000401","Census Tract 4.01",,,"Census Tract 4.01, Philadelphia County, Pennsylvania","42101000401","216838","15884",,,,,,,,2183,2573,1849,401,375,26,0,26,1448,663,785,21.69,20.28,1.41,0,1.41,78.31,35.86,42.46,1849,1319,451,35,33,11,0,0,71.34,24.39,1.89,1.78,0.59,0,0,1.37,1849,628,1221,33.96,66.04,628,487,141,77.55,22.45,2183,1849,334,84.7,15.3,334,93,0,241,27.84,0,72.16,2183,42,37,5,0,13,87,77,168,1796,0,0,1.92,1.69,0.23,0,0.6,3.99,3.53,7.7,82.27,0,0,1849,0,147,303,66,13,57,252,199,45,767,0,7.95,16.39,3.57,0.7,3.08,13.63,10.76,2.43,41.48,552300,1194,316,48,6,117,119,121,173,294,26.47,4.02,0.5,9.8,9.97,10.13,14.49,24.62,1231
"ACSSF","pa","140","00","0008812",,,,,"42","101",,,"000403",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101000403","Census Tract 4.03",,,"Census Tract 4.03, Philadelphia County, Pennsylvania","42101000403","139616","0",,,,,,,,809,965,694,172,156,16,0,16,522,237,285,24.78,22.48,2.31,0,2.31,75.22,34.15,41.07,694,437,243,14,0,0,0,0,62.97,35.01,2.02,0,0,0,0,1.39,694,402,292,57.93,42.07,402,325,77,80.85,19.15,809,694,115,85.78,14.22,115,27,30,58,23.48,26.09,50.43,809,20,4,16,0,0,0,0,51,738,0,0,2.47,0.49,1.98,0,0,0,0,6.3,91.22,0,0,694,0,111,232,50,0,41,0,0,0,260,0,15.99,33.43,7.2,0,5.91,0,0,0,37.46,856700,275,0,0,0,16,0,0,104,155,0,0,0,5.82,0,0,37.82,56.36,2112
"ACSSF","pa","140","00","0008813",,,,,"42","101",,,"000404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101000404","Census Tract 4.04",,,"Census Tract 4.04, Philadelphia County, Pennsylvania","42101000404","164084","0",,,,,,,,2749,3260,2323,514,419,95,0,95,1809,792,1017,22.13,18.04,4.09,0,4.09,77.87,34.09,43.78,2323,1543,695,59,26,0,0,0,66.42,29.92,2.54,1.12,0,0,0,1.4,2323,1017,1306,43.78,56.22,1017,930,87,91.45,8.55,2749,2323,426,84.5,15.5,426,170,16,240,39.91,3.76,56.34,2749,156,68,88,13,0,44,26,73,2437,0,0,5.67,2.47,3.2,0.47,0,1.6,0.95,2.66,88.65,0,0,2323,0,446,90,123,46,189,862,375,18,174,0,19.2,3.87,5.29,1.98,8.14,37.11,16.14,0.77,7.49,331900,1257,11,0,16,16,13,68,511,622,0.88,0,1.27,1.27,1.03,5.41,40.65,49.48,1994
"ACSSF","pa","140","00","0008814",,,,,"42","101",,,"000500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101000500","Census Tract 5",,,"Census Tract 5, Philadelphia County, Pennsylvania","42101000500","428760","0",,,,,,,,1355,2977,1144,111,98,13,0,13,1033,495,538,9.7,8.57,1.14,0,1.14,90.3,43.27,47.03,1144,872,230,32,10,0,0,0,76.22,20.1,2.8,0.87,0,0,0,1.37,1144,61,1083,5.33,94.67,61,10,51,16.39,83.61,1355,1144,211,84.43,15.57,211,157,25,29,74.41,11.85,13.74,1355,21,21,0,11,33,28,10,121,1131,0,0,1.55,1.55,0,0.81,2.44,2.07,0.74,8.93,83.47,0,0,1144,0,423,63,31,20,44,29,25,38,471,0,36.98,5.51,2.71,1.75,3.85,2.53,2.19,3.32,41.17,338600,1073,77,59,23,84,118,73,282,357,7.18,5.5,2.14,7.83,11,6.8,26.28,33.27,1682
"ACSSF","pa","140","00","0008815",,,,,"42","101",,,"000600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101000600","Census Tract 6",,,"Census Tract 6, Philadelphia County, Pennsylvania","42101000600","172652","0",,,,,,,,1300,1465,1008,152,152,0,0,0,856,341,515,15.08,15.08,0,0,0,84.92,33.83,51.09,1008,661,314,33,0,0,0,0,65.58,31.15,3.27,0,0,0,0,1.43,1008,18,990,1.79,98.21,18,9,9,50,50,1300,1008,292,77.54,22.46,292,228,0,64,78.08,0,21.92,1300,19,10,9,37,76,32,95,185,856,0,0,1.46,0.77,0.69,2.85,5.85,2.46,7.31,14.23,65.85,0,0,1008,0,216,26,18,59,34,10,9,50,586,0,21.43,2.58,1.79,5.85,3.37,0.99,0.89,4.96,58.13,,990,0,0,8,12,24,117,224,605,0,0,0.81,1.21,2.42,11.82,22.63,61.11,2152
"ACSSF","pa","140","00","0008816",,,,,"42","101",,,"000701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101000701","Census Tract 7.01",,,"Census Tract 7.01, Philadelphia County, Pennsylvania","42101000701","140499","0",,,,,,,,1572,1682,1279,183,164,19,19,0,1096,509,587,14.31,12.82,1.49,1.49,0,85.69,39.8,45.9,1279,940,322,17,0,0,0,0,73.49,25.18,1.33,0,0,0,0,1.3,1279,302,977,23.61,76.39,302,237,65,78.48,21.52,1572,1279,293,81.36,18.64,293,167,0,126,57,0,43,1572,38,38,0,17,53,73,0,206,1153,32,0,2.42,2.42,0,1.08,3.37,4.64,0,13.1,73.35,2.04,0,1279,0,83,49,241,0,47,50,0,60,749,0,6.49,3.83,18.84,0,3.67,3.91,0,4.69,58.56,306300,977,50,34,0,9,0,121,253,510,5.12,3.48,0,0.92,0,12.38,25.9,52.2,2043
