"","tract","number_of_children_with_ebll_2015","acs_total_population_2019","acs_total_population_ages_0_5_2019","acs_housing_units_total_2019","acs_owner_occupied_units_2019","percent_owner_occupied","acs_renter_occupied_unit_2019","percent_renter_occupied","acs_properties_built_before_1980_2019","percent_properties_built_before_1980_conc","acs_properties_built_before_1950_2019","percent_properties_built_before_1950_conc","acs_percent_children_in_poverty_age_5_2019","acs_median_income_2019","acs_black_population_2019","percent_black_population","acs_minority_population_2019","percent_minority_population","demolitions_2007_2020","number_demolitions_by_violation_2007_2020","total_housing_code_violations_2007_2020","critical_housing_code_violations_2007_2020","lead_violations_2007_2020","smelters","land_recycled_sites_2020","soil_400_ppm","all_normalized_soil","pct_no_health_ins_acs_15_19","pct_pop_disabled_acs_15_19","pct_hispanic_acs_15_19","state","county"
"1","038900",9,NA,591,1413,797,56.40481246,502,35.52724699,1126,79.6886058,495,35.03184713,NA,NA,NA,NA,NA,NA,30,4,1973,0,0,0,0,0,0,5.51,28.02,3.72,"42","101"
"2","038300",15,NA,245,2476,479,19.3457189,464,18.73990307,2342,94.58804523,414,16.72051696,100,NA,NA,NA,NA,NA,2,6,4026,0,0,0,0,0,0,13.37,28.29,60.23,"42","101"
"3","028900",11,11347,254,3477,1887,54.27092321,1406,40.43715847,3306,95.08196721,1111,31.9528329,90.2,24831,3522,31.03904116,5262,46.37349079,6,2,6713,0,0,0,0,0,0,NA,NA,NA,NA,NA
"4","028800",24,4890,250,1536,800,52.08333333,614,39.97395833,1444,94.01041667,368,23.95833333,19,22886,1264,25.84867076,2098,42.90388548,13,9,3754,4,0,0,0,0,0,13.1,25.53,62.16,"42","101"
"5","028700",8,2782,438,875,343,39.2,469,53.6,802,91.65714286,146,16.68571429,55.4,22668,1006,36.16103523,1079,38.78504673,6,2,2376,13,0,0,3,0,0,12.26,24.29,61.47,"42","101"
"6","028400",41,4672,502,1438,343,23.85257302,469,32.6147427,1414,98.3310153,264,18.35883171,NA,29133,3510,75.12842466,3754,80.3510274,27,23,4641,38,0,0,0,0,0,7.38,19.91,10.53,"42","101"
"7","028300",81,7692,511,2886,887,30.73458073,386,13.37491337,2707,93.7976438,320,11.08801109,66.1,26874,6030,78.39313573,7232,94.01976079,27,22,8462,48,0,0,0,0,0,9.97,25.75,1.05,"42","101"
"8","028200",29,5348,214,2260,1069,47.30088496,975,43.14159292,2089,92.43362832,586,25.92920354,25.6,32178,4298,80.36649215,4789,89.54749439,23,6,3820,33,2,0,0,0,0,13.19,18.22,17.09,"42","101"
"9","028100",24,4171,356,1507,864,57.33244857,586,38.88520239,1406,93.29794293,317,21.03516921,NA,36082,3631,87.0534644,3911,93.76648286,17,13,3748,87,0,0,0,2,282,6.89,17.94,9.29,"42","101"
"10","028000",24,4874,350,1900,1043,54.89473684,607,31.94736842,1823,95.94736842,384,20.21052632,NA,25960,4686,96.14279852,4759,97.64054165,33,25,5145,73,0,0,0,0,0,5.23,22.77,0.88,"42","101"
"11","027901",NA,7707,133,1704,867,50.88028169,567,33.27464789,1653,97.00704225,327,19.19014085,29.3,25765,5783,75.03568185,6089,79.00609835,17,15,7663,98,0,0,0,0,0,9,15.58,1.43,"42","101"
"12","027800",17,4580,246,2209,956,43.27750113,835,37.79990946,2025,91.67043911,362,16.38750566,38.3,25829,4387,95.7860262,4460,97.37991266,10,3,4074,26,0,0,0,0,0,10.58,16.59,2.06,"42","101"
"13","027700",22,4571,86,2378,1217,51.17746005,739,31.0765349,2197,92.38856182,241,10.13456686,64.1,24774,4284,93.72128637,4424,96.78407351,19,16,5185,79,0,0,0,0,0,5.14,20.73,0.48,"42","101"
"14","027600",16,4086,311,1868,759,40.63169165,842,45.07494647,1725,92.34475375,433,23.17987152,11.5,31262,3725,91.1649535,3867,94.64023495,9,3,3264,32,0,0,0,0,0,11.79,16.41,2.52,"42","101"
"15","027000",NA,2493,415,1024,552,53.90625,403,39.35546875,947,92.48046875,141,13.76953125,NA,44882,1722,69.07340554,1926,77.25631769,4,1,612,2,0,0,0,0,0,8.35,16.62,0.65,"42","101"
"16","026800",16,4673,469,2139,622,29.07900888,1242,58.06451613,1852,86.58251519,277,12.94997662,31.7,32836,4057,86.81789001,4275,91.48298737,6,2,3608,5,0,0,0,0,0,10.69,19.92,11.12,"42","101"
"17","026700",26,6920,172,2919,1636,56.0465913,937,32.10003426,2854,97.77321,468,16.03288798,20.6,32012,6605,95.44797688,6783,98.02023121,0,0,7369,61,0,0,0,0,0,8.07,13.37,0.66,"42","101"
"18","026600",10,6900,163,2682,1770,65.99552573,467,17.41237882,2654,98.95600298,389,14.50410142,NA,36489,6636,96.17391304,6805,98.62318841,2,0,4729,54,0,0,0,1,564,8.15,16.42,2.51,"42","101"
"19","026500",22,4847,133,1933,1105,57.16502845,569,29.43610967,1917,99.17227108,510,26.38385929,100,35449,4614,95.19290283,4713,97.23540334,9,3,5634,107,0,0,0,0,0,8.06,14.87,1.54,"42","101"
"20","026400",7,5936,909,2339,1798,76.87045746,368,15.73321932,2339,100,534,22.83026935,NA,41111,5657,95.29986523,5833,98.2648248,1,1,3571,43,0,0,0,0,0,3.45,16.24,0.46,"42","101"
"21","026302",12,5875,107,2229,1675,75.14580529,322,14.44593988,2144,96.18663078,546,24.49528937,37.9,37341,5494,93.51489362,5755,97.95744681,10,3,4630,39,0,0,0,1,282,3.71,27.93,0.87,"42","101"
